session_id,auction_tier,round,status,player_key,rank,bid,name_confidence,bid_confidence,is_self,is_imputed_zero
session_1c09bbfbb02cc26e,S,1,complete,player_60914cd715c0a329,3,666666,0.995579,0.992613,false,false
session_1c09bbfbb02cc26e,S,1,complete,player_5e3730811248c908,4,551715,0.892692,0.998276,true,false
session_3643fef85c5d2f1d,S,1,complete,,1,4200000,0.0,0.998,false,false
session_3643fef85c5d2f1d,S,1,complete,player_d711f66a9117108a,2,2000000,0.998032,0.996932,false,false
session_3643fef85c5d2f1d,S,1,complete,player_5b66be28f426efdf,3,1145141,0.989808,0.998761,false,false
session_3643fef85c5d2f1d,S,1,complete,player_5e3730811248c908,4,547715,0.91278,0.994607,true,false
session_8cb17dbc8c196f0e,S,1,complete,player_ba53e13f0b59a860,1,3000000,0.986803,0.976614,false,false
session_8cb17dbc8c196f0e,S,1,complete,player_fbe1c254ca2ec6b8,2,2000000,0.998713,0.997829,false,false
session_8cb17dbc8c196f0e,S,1,complete,player_f51da3a86650a867,3,2000000,0.987125,0.997661,false,false
session_8cb17dbc8c196f0e,S,1,complete,player_5e3730811248c908,4,557901,0.892692,0.99735,true,false
session_8cb17dbc8c196f0e,S,2,complete,player_ba53e13f0b59a860,1,3000000,0.986803,0.999382,false,false
session_8cb17dbc8c196f0e,S,2,complete,player_f51da3a86650a867,2,3000000,0.984961,0.995961,false,false
session_8cb17dbc8c196f0e,S,2,complete,player_fbe1c254ca2ec6b8,3,2000000,0.998122,0.999133,false,false
session_8cb17dbc8c196f0e,S,2,complete,player_5e3730811248c908,4,557901,0.892692,0.989007,true,false
session_8cb17dbc8c196f0e,S,3,complete,player_fbe1c254ca2ec6b8,1,3000001,0.99775,0.999619,false,false
session_8cb17dbc8c196f0e,S,3,complete,player_f51da3a86650a867,2,3000000,0.989524,0.994653,false,false
session_8cb17dbc8c196f0e,S,3,complete,player_ba53e13f0b59a860,3,2400000,0.98029,0.999669,false,false
session_8cb17dbc8c196f0e,S,3,complete,player_5e3730811248c908,4,557901,0.889414,0.999598,true,false
session_8cb17dbc8c196f0e,S,4,complete,player_f51da3a86650a867,1,3500000,0.9814,0.999228,false,false
session_8cb17dbc8c196f0e,S,4,complete,player_fbe1c254ca2ec6b8,2,3000003,0.998713,0.998255,false,false
session_8cb17dbc8c196f0e,S,4,complete,player_5e3730811248c908,3,557901,0.953691,0.999229,true,false
session_8cb17dbc8c196f0e,S,4,complete,player_ba53e13f0b59a860,4,,0.980808,0.0,false,true
session_52176d588ef25cbe,S,1,complete,player_2e601af98696ad81,1,4000000,0.985329,0.997695,false,false
session_52176d588ef25cbe,S,1,complete,player_2d687aa15162c93f,2,2699999,0.996012,0.998589,false,false
session_52176d588ef25cbe,S,1,complete,player_5e3730811248c908,3,553901,0.955049,0.997035,true,false
session_52176d588ef25cbe,S,1,complete,player_16e76dc34717eb36,4,,0.971027,0.0,false,true
session_52176d588ef25cbe,S,2,complete,player_2e601af98696ad81,1,4000000,0.985329,0.997695,false,false
session_52176d588ef25cbe,S,2,complete,player_2d687aa15162c93f,2,2699999,0.996012,0.998617,false,false
session_52176d588ef25cbe,S,2,complete,player_5e3730811248c908,3,,0.955049,0.0,true,false
session_52176d588ef25cbe,S,2,complete,player_16e76dc34717eb36,4,,0.971027,0.0,false,true
session_52176d588ef25cbe,S,3,complete,player_2e601af98696ad81,1,3800000,0.985329,0.997839,false,false
session_52176d588ef25cbe,S,3,complete,player_2d687aa15162c93f,2,3566666,0.996012,0.99251,false,false
session_52176d588ef25cbe,S,3,complete,player_5e3730811248c908,3,,0.955049,0.0,true,false
session_52176d588ef25cbe,S,3,complete,player_16e76dc34717eb36,4,,0.971027,0.0,false,true
session_52176d588ef25cbe,S,4,complete,player_76e14fe7996e7b6d,1,3800000,0.851873,0.997839,false,false
session_52176d588ef25cbe,S,4,complete,player_2d687aa15162c93f,2,3566666,0.996012,0.995703,false,false
session_52176d588ef25cbe,S,4,complete,player_5e3730811248c908,3,,0.955049,0.0,true,false
session_52176d588ef25cbe,S,4,complete,player_16e76dc34717eb36,4,,0.971027,0.0,false,true
session_52176d588ef25cbe,S,5,complete,player_2d687aa15162c93f,1,3666666,0.996882,0.997523,false,false
session_52176d588ef25cbe,S,5,complete,player_2e601af98696ad81,2,3650000,0.989845,0.996494,false,false
session_52176d588ef25cbe,S,5,complete,player_5e3730811248c908,3,,0.955049,0.0,true,false
session_52176d588ef25cbe,S,5,complete,player_16e76dc34717eb36,4,,0.971027,0.0,false,true
session_106ff61c57bde0e8,S,1,complete,player_9001ca50f549f930,1,2500000,0.997642,0.999389,false,false
session_106ff61c57bde0e8,S,1,complete,player_4f2d166a81be4a52,2,2000000,0.990505,0.997352,false,false
session_106ff61c57bde0e8,S,1,complete,player_b067a15eb8f4bf3b,3,2000000,0.997283,0.999133,false,false
session_106ff61c57bde0e8,S,1,complete,player_5e3730811248c908,4,549901,0.892692,0.996748,true,false
session_106ff61c57bde0e8,S,2,complete,player_b067a15eb8f4bf3b,1,3000000,0.994833,0.999382,false,false
session_106ff61c57bde0e8,S,2,complete,player_4f2d166a81be4a52,2,2500000,0.990204,0.99727,false,false
session_106ff61c57bde0e8,S,2,complete,player_9001ca50f549f930,3,2500000,0.997917,0.998775,false,false
session_106ff61c57bde0e8,S,2,complete,player_5e3730811248c908,4,557101,0.892692,0.993232,true,false
session_106ff61c57bde0e8,S,3,complete,player_b067a15eb8f4bf3b,1,3000000,0.994833,0.976614,false,false
session_106ff61c57bde0e8,S,3,complete,player_4f2d166a81be4a52,2,3000000,0.990505,0.995961,false,false
session_106ff61c57bde0e8,S,3,complete,player_9001ca50f549f930,3,2500000,0.997639,0.998775,false,false
session_106ff61c57bde0e8,S,3,complete,player_5e3730811248c908,4,557101,0.892692,0.995036,true,false
session_106ff61c57bde0e8,S,4,complete,player_4f2d166a81be4a52,1,3300001,0.99404,0.999559,false,false
session_106ff61c57bde0e8,S,4,complete,player_b067a15eb8f4bf3b,2,3300000,0.998036,0.993805,false,false
session_106ff61c57bde0e8,S,4,complete,player_9001ca50f549f930,3,2750000,0.997639,0.998454,false,false
session_106ff61c57bde0e8,S,4,complete,player_5e3730811248c908,4,557101,0.892692,0.997556,true,false
session_106ff61c57bde0e8,S,5,complete,player_b067a15eb8f4bf3b,1,4100000,0.99581,0.998528,false,false
session_106ff61c57bde0e8,S,5,complete,player_9001ca50f549f930,2,4000000,0.997118,0.995648,false,false
session_106ff61c57bde0e8,S,5,complete,player_4f2d166a81be4a52,3,3700000,0.99086,0.994822,false,false
session_106ff61c57bde0e8,S,5,complete,player_5e3730811248c908,4,557101,0.892692,0.995036,true,false
session_94b64ed42b8a59cb,S,1,complete,player_1cfca154244320f4,1,4200000,0.997066,0.998,false,false
